
Setup complete, entering main loop...

cycle=292000 time=1.5179887086858421e+00 dt=5.1985896618363148e-06
cycle=294000 time=1.5283858879289345e+00 dt=5.1985895781817247e-06
cycle=296000 time=1.5387830670138833e+00 dt=5.1985895058600976e-06
cycle=298000 time=1.5491802459578521e+00 dt=5.1985894400282404e-06
cycle=300000 time=1.5595774247707115e+00 dt=5.1985893646517347e-06
cycle=302000 time=1.5699746034177786e+00 dt=5.1985892873860550e-06
cycle=304000 time=1.5803717819338983e+00 dt=5.1985892241545051e-06
cycle=306000 time=1.5907689603114217e+00 dt=5.1985891546005082e-06
cycle=308000 time=1.6011661385482543e+00 dt=5.1985890836283527e-06
cycle=310000 time=1.6115633166252292e+00 dt=5.1985889949127282e-06
cycle=312000 time=1.6219604945360908e+00 dt=5.1985889173539243e-06
cycle=314000 time=1.6323576722899820e+00 dt=5.1985888347853076e-06
cycle=316000 time=1.6427548498714182e+00 dt=5.1985887452504276e-06
cycle=318000 time=1.6531520272849434e+00 dt=5.1985886685014508e-06
cycle=320000 time=1.6635492045383198e+00 dt=5.1985885818267453e-06
cycle=322000 time=1.6739463816013516e+00 dt=5.1985884840146848e-06
cycle=324000 time=1.6843435584749338e+00 dt=5.1985883862363447e-06
cycle=326000 time=1.6947407351329078e+00 dt=5.1985882649162807e-06
cycle=328000 time=1.7051379115583620e+00 dt=5.1985881543974521e-06
cycle=330000 time=1.7155350877425322e+00 dt=5.1985880291077368e-06
cycle=332000 time=1.7259322637054211e+00 dt=5.1985879326452878e-06
cycle=334000 time=1.7363294394318149e+00 dt=5.1985877937431195e-06
cycle=336000 time=1.7467266148986540e+00 dt=5.1985876855689577e-06
cycle=338000 time=1.7571237901482217e+00 dt=5.1985875567206334e-06
cycle=340000 time=1.7675209651449730e+00 dt=5.1985874360451581e-06
cycle=342000 time=1.7779181398902841e+00 dt=5.1985873069622269e-06
cycle=344000 time=1.7883153143907338e+00 dt=5.1985871950090682e-06
cycle=346000 time=1.7987124886465182e+00 dt=5.1985870591693264e-06
cycle=348000 time=1.8091096626325773e+00 dt=5.1985869286063635e-06
cycle=350000 time=1.8195068363493379e+00 dt=5.1985867933146053e-06
cycle=352000 time=1.8299040097958692e+00 dt=5.1985866457774274e-06
cycle=354000 time=1.8403011829536318e+00 dt=5.1985865127852748e-06
cycle=356000 time=1.8506983558361059e+00 dt=5.1985863603740812e-06
cycle=358000 time=1.8610955284119326e+00 dt=5.1985862131573189e-06
cycle=360000 time=1.8714927006546869e+00 dt=5.1985860308332289e-06
cycle=362000 time=1.8818898725626680e+00 dt=5.1985858607995487e-06
cycle=364000 time=1.8922870441031467e+00 dt=5.1985856777259827e-06
cycle=366000 time=1.9026842152475489e+00 dt=5.1985854766230206e-06
cycle=368000 time=1.9130813859945832e+00 dt=5.1985852856336191e-06
cycle=370000 time=1.9234785563673016e+00 dt=5.1985850571090021e-06
cycle=372000 time=1.9338757262759627e+00 dt=5.1985848559296232e-06
cycle=374000 time=1.9442728958017017e+00 dt=5.1985846810722793e-06
cycle=376000 time=1.9546700649387274e+00 dt=5.1985844891268115e-06
cycle=378000 time=1.9650672337236996e+00 dt=5.1985842577481643e-06
cycle=380000 time=1.9754644020108718e+00 dt=5.1985840697519291e-06
cycle=382000 time=1.9858615699727715e+00 dt=5.1985838497984360e-06
cycle=384000 time=1.9962587373896712e+00 dt=5.1985835894451651e-06

Terminating on time limit
time=2.0000000000000000e+00 cycle=384720
tlim=2.0000000000000000e+00 nlim=-1

zone-cycles = 1550663680
cpu time used  = 2.4041949669999999e+03
zone-cycles/cpu_second = 6.4498249987393804e+05
